Test Case ID,Title,Category,Expected Result,Steps,Test Data
TC-001,"Verify insurance eligibility for a covered test",Positive,"System verifies insurance eligibility and proceeds with scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a covered radiology test | Click 'Schedule Test' | Verify insurance eligibility via API call","Patient with active insurance coverage for the test"
TC-002,"Verify insurance eligibility for a test requiring pre-authorization",Positive,"System stores authorization ID and approval date in the billing record","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a test requiring pre-authorization | Click 'Schedule Test' | Verify insurance eligibility via API call | Initiate pre-authorization process","Patient with insurance coverage requiring pre-authorization for the test"
TC-003,"Notify coordinator and patient for a non-covered test",Negative,"System notifies coordinator and patient, and offers alternative payment options","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a non-covered radiology test | Click 'Schedule Test' | Verify insurance eligibility via API call","Patient with no insurance coverage for the test"
TC-004,"Edge case - Invalid patient data",Edge,"System displays error message and prevents scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Enter invalid patient data | Click 'Schedule Test' | Verify insurance eligibility via API call","Invalid patient data (e.g., missing or incorrect info)"
TC-005,"Edge case - API call failure",Edge,"System displays error message and prevents scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a radiology test | Simulate API call failure | Click 'Schedule Test'","API call failure (e.g., network issue or server error)"
TC-006,"Edge case - Test not scheduled",Edge,"System does not verify insurance eligibility","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient but do not schedule a test | Verify insurance eligibility via API call","Patient not scheduled for a test"
TC-007,"Verify insurance eligibility for multiple tests",Positive,"System verifies insurance eligibility for each test","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for multiple radiology tests | Click 'Schedule Test' for each test | Verify insurance eligibility via API call for each test","Patient with multiple tests scheduled"
TC-008,"Pre-authorization process for multiple tests",Positive,"System stores authorization ID and approval date for each test","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for multiple tests requiring pre-authorization | Click 'Schedule Test' for each test | Initiate pre-authorization process for each test","Patient with multiple tests requiring pre-authorization"
TC-009,"Notification for multiple non-covered tests",Negative,"System notifies coordinator and patient for each test, and offers alternative payment options","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for multiple non-covered radiology tests | Click 'Schedule Test' for each test | Verify insurance eligibility via API call for each test","Patient with multiple non-covered tests"
TC-010,"Edge case - Patient with no insurance",Edge,"System notifies coordinator and patient, and offers alternative payment options","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient with no insurance | Click 'Schedule Test' | Verify insurance eligibility via API call","Patient with no insurance coverage"
TC-011,"Edge case - Test not in insurance network",Edge,"System notifies coordinator and patient, and offers alternative payment options","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a test not in insurance network | Click 'Schedule Test' | Verify insurance eligibility via API call","Test not in patient's insurance network"
TC-012,"Edge case - Insurance coverage expired",Edge,"System notifies coordinator and patient, and offers alternative payment options","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient with expired insurance coverage | Click 'Schedule Test' | Verify insurance eligibility via API call","Patient's insurance coverage has expired"
TC-013,"Edge case - API call timeout",Edge,"System displays error message and prevents scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a radiology test | Simulate API call timeout | Click 'Schedule Test'","API call timeout"
TC-014,"Edge case - Invalid API response",Edge,"System displays error message and prevents scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a radiology test | Simulate invalid API response | Click 'Schedule Test'","Invalid API response"
TC-015,"Edge case - Duplicate test scheduling",Edge,"System prevents duplicate scheduling and notifies coordinator","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Select a patient scheduled for a duplicate radiology test | Click 'Schedule Test'","Duplicate test scheduled"
TC-016,"Edge case - Test scheduling with incorrect patient data",Edge,"System prevents scheduling and notifies coordinator","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Enter incorrect patient data | Click 'Schedule Test'","Incorrect patient data"
TC-017,"Edge case - Test scheduling with missing required fields",Edge,"System prevents scheduling and notifies coordinator","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Omit required fields | Click 'Schedule Test'","Missing required fields"
TC-018,"Edge case - Coordinator logs out during test scheduling",Edge,"System logs out coordinator and prevents scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Log out during test scheduling | Click 'Schedule Test'","Coordinator logs out during test scheduling"
TC-019,"Edge case - Multiple coordinators scheduling tests simultaneously",Edge,"System handles concurrent scheduling and prevents conflicts","Login with multiple valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Schedule tests simultaneously","Multiple coordinators scheduling tests simultaneously"
TC-020,"Edge case - System maintenance during test scheduling",Edge,"System displays maintenance message and prevents scheduling","Login with valid billing coordinator credentials | Navigate to Radiology Test Scheduling module | Schedule test during system maintenance","System maintenance during test scheduling"
